,位置 X,位置 Y,深度0
85,12562.3978,5601.9157,-162.56
86,12800.2148,5608.878,-176.94
87,8311.7556,4946.7693,-306.37
88,12528.1693,5258.5705,-282.18
89,13369.534,4686.4907,-441.46
90,13561.5947,4780.3424,-393.50
91,13068.249,5411.4486,-228.43
92,13049.2614,5200.5523,-292.83
93,10015.702,4600.3882,-474.90
95,10333.6936,3994.1452,-573.15
96,6009.1078,3586.6112,-404.03
97,11685.7978,5793.1384,-222.62
277,7597.9903,4183.2029,-475.67
278,7554.2376,4743.0288,-408.80
282,7338.705,4041.8254,-468.12
283,7049.0555,4073.5545,-453.87
284,7724.3121,3684.9519,-495.92
285,7017.4736,3742.1499,-495.57
288,7486.9332,3883.7763,-486.45
292,8075.2422,4815.1106,-342.23
293,7561.1966,5103.1946,-322.44
295,8045.4854,5064.6707,-381.60
296,8763.2295,5356.3593,-300.77
298,8549.722,4598.7054,-339.51
300,7280.5023,4859.8497,-373.57
302,7301.8519,4717.143,-405.39
304,7763.7046,4765.8224,-395.62
309,5544.9928,4104.0706,-317.52
311,5998.8969,4093.6369,-374.97
313,5956.8381,3070.5166,-468.01
315,5508.9738,3594.5918,-340.87
316,5553.2926,4626.284,-307.62
318,5862.6205,4828.5222,-322.77
320,6292.5919,4809.1488,-364.85
321,5335.7172,4350.0684,-295.51
324,6035.5332,4612.0041,-333.25
326,7016.3417,2680.158,-572.60
327,6424.3326,2538.6214,-616.12
328,7423.8533,2462.9293,-632.83
329,7457.8228,3303.1725,-548.25
331,6993.4701,3250.5829,-572.85
335,6383.8351,1800.691,-226.87
337,5488.3495,2898.3085,-453.99
339,6400.8253,2271.1193,-630.65
341,7257.8091,1862.2002,-442.26
342,10597.9022,3705.3385,-657.73
344,9994.0653,3903.6134,-574.39
346,10599.7653,3938.3864,-625.49
348,10375.7375,3928.4589,-602.92
352,10628.9944,2948.4359,-741.33
354,10059.7292,2948.9075,-708.22
356,10605.0186,3427.4827,-675.46
358,10040.6486,3330.1666,-638.24
360,10550.9548,5544.277,-319.15
362,10408.6494,5624.2349,-310.56
363,11058.3196,5282.641,-384.26
364,10918.6273,5521.0807,-306.66
365,10922.8497,5603.7963,-289.89
367,10756.0808,5589.05,-307.17
368,10547.5861,5073.2525,-403.45
370,11057.0426,5632.5754,-278.07
374,10537.5554,5187.1885,-374.53
375,11048.7294,5146.3158,-445.95
377,9055.4049,4667.3524,-373.11
379,8589.0129,4994.1334,-315.98
381,8526.8682,3910.486,-474.30
382,9052.2667,4453.8643,-387.45
384,8583.2352,5165.0145,-305.94
385,9214.0049,5568.1942,-313.96
386,9545.1794,5462.7992,-302.19
389,9020.4607,5435.371,-297.72
393,9495.487,1704.1718,-879.35
397,10096.1487,2572.2892,-776.64
401,8470.5755,1993.3852,-718.86
402,7963.289,3403.0847,-541.26
403,9035.5293,3000.8971,-639.82
405,9009.5878,3981.6757,-503.05
406,8462.2479,1765.9064,-691.60
409,8538.7444,2800.4585,-661.17
410,5579.9549,5128.4583,-280.07
411,9706.57,4681.2651,-412.05
412,9175.7095,4368.9382,-440.24
413,9995.3902,4801.262,-413.23
416,9546.9162,2811.4638,-709.58
418,9565.0629,3282.7345,-624.59
421,10041.2699,5449.8302,-325.60
423,9673.1993,5564.6935,-296.94
425,9552.1778,5106.9425,-325.80
427,10025.0122,5105.9635,-339.44
434,9048.8554,5510.8288,-295.77
435,7764.2872,4976.5352,-416.23
436,8548.6346,3354.3889,-553.42
437,7442.3226,2884.0144,-617.28
439,7852.6469,1927.7433,-605.15
443,7923.3075,2840.4197,-633.01
445,14084.0684,4761.0384,-475.20
447,14057.7226,5177.7257,-316.61
449,14531.5021,5256.5527,-345.70
451,13691.3509,3534.4836,-917.02
453,14297.162,5818.4621,-183.54
454,13614.1975,4240.6571,-649.92
455,14112.9361,3948.8097,-758.79
456,13081.1733,4742.0399,-432.10
457,13576.1726,4664.7707,-465.70
458,14531.5696,4723.1756,-525.91
461,14518.4233,4195.9175,-697.04
462,12591.4363,4862.6511,-395.88
465,13136.7056,4501.99,-536.07
467,10577.7763,4461.8242,-542.38
468,9529.9507,2311.8346,-800.72
469,10117.2187,2183.443,-844.22
473,14281.3626,5690.9657,-205.54
475,14082.8316,4901.6023,-391.94
477,14043.5575,5625.0632,-210.86
480,4494.1946,3685.3243,-271.22
482,4469.1734,3181.9697,-311.83
484,4575.8839,5200.1697,-184.33
487,4471.7127,2931.6704,-305.08
488,3533.7878,4255.6424,-202.21
490,3761.447,4827.4825,-179.99
492,4467.3333,2680.2151,-257.02
494,3368.1924,3340.1822,-223.05
496,5890.2008,5758.3709,-148.85
498,6142.8464,5812.0046,-147.55
500,6560.2368,4989.2851,-366.32
502,6143.2427,5717.1197,-265.85
505,4868.1168,5389.3514,-164.02
508,4714.7383,5567.3601,-125.40
510,5595.8045,5625.4967,-195.48
512,5444.7003,5805.1255,-117.85
513,6752.5104,4656.6381,-390.60
516,6660.6219,4820.7726,-365.78
519,6540.7481,4505.1777,-404.39
521,6074.4635,5111.7679,-331.39
525,6440.843,3082.9198,-531.59
526,6544.5215,4045.1225,-431.45
528,6458.9791,3327.1094,-503.39
533,5173.7571,5572.4721,-124.03
536,4341.8246,5461.1245,-109.04
538,5054.4081,4660.3783,-300.25
540,5031.6901,4150.7963,-285.65
541,5811.9273,5392.3688,-274.17
543,4545.9955,4693.486,-265.28
545,4823.1385,4394.8091,-294.23
703,13533.1853,5331.6699,-250.72
705,13536.0037,5361.8356,-234.72
709,4515.6665,4187.437,-260.38
711,13539.2811,5405.3366,-234.72
717,13498.9987,5436.3605,-235.70
792,3738.607,5755.638,-125.25
796,14522.5738,4375.7766,-660.58
798,14137.8234,3912.1924,-834.870
1214,9003.0737,4959.0794,-324.66
1328,11999.0331,4386.9298,-677.80
1460,10012.8605,4574.2005,-426.24
1462,10039.034,4648.3007,-409.11
1679,13353.3979,2782.4138,-981.63
1682,13671.1755,3893.5523,-774.03
1710,13425.1547,1881.4562,-605.26
1781,11102.4514,3392.8687,-731.08
1783,11523.0538,3141.8041,-781.78
1785,11778.9796,1690.8745,-366.68
1786,12871.4709,1653.1652,-530.95
1787,11117.4654,3095.5104,-753.82
1788,10661.6533,2459.6172,-816.54
1792,11547.0971,3943.3724,-740.97
1795,11559.2665,3360.1647,-777.47
1796,11092.7042,3660.1142,-705.92
1799,13130.6463,4075.6957,-701.85
1800,13101.8562,3814.8264,-846.99
1801,12583.3736,4025.8731,-771.22
1802,13149.9684,4268.3144,-629.34
1803,12674.1567,4511.8791,-531.29
1804,12628.4712,4308.2208,-637.33
1805,12283.1656,4429.7751,-660.43
1806,12585.1398,3830.9446,-822.50
1807,12126.5878,2600.449,-909.13
1808,12138.6973,3097.2344,-892.57
1809,12808.1691,1842.8389,-584.89
1810,11660.4057,2809.3137,-817.78
1811,12592.0064,3439.5381,-870.78
1812,12060.2714,3953.3192,-768.36
1813,13176.4067,3196.4116,-948.06
1814,12068.2047,3494.1638,-839.73
1815,11560.2889,5507.8784,-321.39
1817,11319.2769,5648.7534,-274.14
1819,12043.9884,5677.3409,-156.15
1820,11982.5105,5427.6693,-245.82
1821,11550.9213,5604.5805,-290.25
1822,11833.2519,5694.7608,-234.44
1824,12187.8925,5354.0143,-257.46
1825,12049.2162,5869.185,-177.52
1826,11066.2376,5565.8175,-288.01
1829,11311.4599,5750.0344,-274.79
1830,12045.7032,5834.1082,-186.60
1831,11777.9454,5898.3255,-209.10
1832,11066.8567,4675.7818,-555.85
1834,11532.9852,4782.8022,-574.79
1836,11058.4407,4214.8247,-623.70
1838,11539.3913,4320.5249,-659.25
1840,11937.9888,4776.7475,-561.10
1841,11557.4799,5388.6342,-350.62
1842,11752.4972,5243.6573,-382.84
1845,11545.7104,5142.1617,-438.18
1846,11920.4945,4997.8189,-480.42
1847,11990.466,5219.8916,-344.89
1848,11913.7566,5107.6326,-416.45
1864,11312.489,5434.758,-339.55
1878,12332.2712,5482.1163,-212.83
1883,14360.5817,2059.79,-749.47
1884,13821.6454,1715.279,-638.69
1885,14151.9381,3170.4595,-985.47
1886,14395.6485,2502.8469,-1092.05
1888,7533.3727,4591.3337,-403.39
1892,13515.2969,5556.131,-191.03
1893,13743.5985,5599.8227,-194.83
1894,12521.1494,4722.3568,-442.16
1895,13276.5943,5594.6638,-173.53
1896,14529.7263,4971.8797,-434.13
1897,14100.0182,4405.8509,-605.20
1898,14503.8267,5683.5064,-175.43
1899,14508.0684,5631.8704,-218.41
1900,9381.3611,5537.7997,-317.25
1903,7040.0199,4377.6568,-441.84
1904,9566.1862,3864.8283,-538.57
1905,9542.7957,3764.4384,-554.53
1909,7050.5813,4762.9251,-379.80
1914,9006.1717,3476.3317,-559.76
1915,6477.5626,3569.2268,-500.66
1961,13060.4803,5650.3314,-159.58
2002,12628.5252,5670.6435,-150.01
